Date,Open,High,Low,Close
10/10/2017,39.93,39.950001,39.380001,39.650002
11/10/2017,39.48,39.669998,39.060001,39.299999
12/10/2017,39.349998,39.389999,38.98,39.189999
13/10/2017,39.439999,39.810001,39.279999,39.669998
16/10/2017,39.709999,39.790001,39.439999,39.759998
17/10/2017,39.560001,39.869999,39.369999,39.790001
18/10/2017,39.799999,40.290001,39.599998,40.25
19/10/2017,39.880001,40.330002,39.830002,40.09
20/10/2017,40.330002,40.450001,40.099998,40.43
23/10/2017,40.549999,41.040001,40.400002,40.830002
24/10/2017,41,41.049999,40.720001,40.950001
25/10/2017,40.889999,41.060001,40.490002,40.779999
26/10/2017,40.91,41.580002,40.709999,41.349998
27/10/2017,43.299999,45,43.099998,44.400002
30/10/2017,44.48,45.189999,43.880001,44.369999
31/10/2017,45.200001,45.799999,44.650002,45.490002
01/11/2017,45.970001,46.709999,45.59,46.709999
02/11/2017,46.610001,47.23,46.209999,47.099998
03/11/2017,47.200001,47.299999,45.599998,46.34
06/11/2017,46.599998,46.740002,46.09,46.700001
07/11/2017,46.700001,47.09,46.389999,46.779999
08/11/2017,46.619999,46.700001,46.279999,46.700001
09/11/2017,46.049999,46.389999,45.650002,46.299999
10/11/2017,46.040001,46.09,45.380001,45.580002
13/11/2017,45.259998,45.939999,45.25,45.75
14/11/2017,45.700001,45.919998,45.32,45.860001
15/11/2017,45.389999,45.810001,45.169998,45.459999
16/11/2017,45.630001,46.07,45.459999,45.650002
17/11/2017,45.5,45.619999,44.619999,44.630001
20/11/2017,44.73,45.119999,44.5,44.619999
21/11/2017,44.720001,45.220001,44.709999,44.939999
22/11/2017,44.939999,44.950001,44.540001,44.650002
24/11/2017,44.549999,44.779999,44.43,44.75
27/11/2017,44.419998,44.610001,44.27,44.490002
28/11/2017,44.650002,44.84,44.32,44.73
29/11/2017,44.849998,45.09,43.77,43.950001
30/11/2017,44.360001,45.200001,44.330002,44.84
01/12/2017,44.73,44.84,43.529999,44.68
04/12/2017,45.02,45.299999,44.330002,44.490002
05/12/2017,44.599998,44.900002,43.23,43.439999
06/12/2017,43.139999,43.720001,42.669998,43.450001
07/12/2017,43.459999,43.599998,42.779999,43.080002
08/12/2017,43.349998,43.580002,43.110001,43.349998
11/12/2017,43.279999,43.779999,43.25,43.66
12/12/2017,43.470001,43.619999,43.080002,43.330002
13/12/2017,43.650002,43.66,43.240002,43.34
14/12/2017,43.43,43.57,43.02,43.259998
15/12/2017,43.400002,44.84,43.07,44.560001
18/12/2017,45.150002,46.349998,45.040001,46.259998
19/12/2017,46.299999,47.259998,45.889999,47.040001
20/12/2017,47.470001,47.639999,46.66,47.560001
21/12/2017,47.540001,47.59,46.560001,46.759998
22/12/2017,46.330002,47.02,46.02,46.700001
26/12/2017,46.279999,46.470001,45.950001,46.080002
27/12/2017,46.110001,46.360001,46,46.110001
28/12/2017,46.360001,46.360001,45.950001,46.220001
29/12/2017,46.209999,46.490002,46.09,46.16
02/01/2018,46.380001,46.900002,46.209999,46.849998
03/01/2018,45.470001,46.209999,43.650002,45.259998
04/01/2018,43.52,44.650002,42.689999,44.43
05/01/2018,44.43,45.150002,43.900002,44.740002
08/01/2018,44.27,44.84,43.959999,44.740002
09/01/2018,44.700001,44.84,43.490002,43.619999
10/01/2018,43.330002,43.599998,42.439999,42.5
11/01/2018,42.799999,43.580002,42.450001,43.41
12/01/2018,43.450001,43.599998,43.009998,43.240002
16/01/2018,43.549999,43.790001,42.889999,43.139999
17/01/2018,43.549999,44.450001,43.509998,44.389999
18/01/2018,44.400002,44.740002,44.169998,44.48
19/01/2018,44.619999,44.889999,44.25,44.82
22/01/2018,44.799999,45.790001,44.790001,45.75
23/01/2018,45.810001,46.09,45.630001,46.060001
24/01/2018,45.900002,46.130001,44.959999,45.509998
25/01/2018,45.880001,46.369999,45.169998,45.299999
26/01/2018,48.380001,50.150002,48.119999,50.080002
29/01/2018,49.599998,50.849998,49.369999,49.98
30/01/2018,49.48,50.060001,48.740002,48.790001
31/01/2018,49.23,49.25,47.560001,48.139999
01/02/2018,47.700001,48.470001,47.450001,47.650002
02/02/2018,47.32,47.790001,46.099998,46.150002
05/02/2018,46.349998,47.259998,44.5,44.52
06/02/2018,44.02,44.93,43.029999,44.91
07/02/2018,44.580002,46.299999,44.34,45.200001
08/02/2018,45.279999,45.419998,42.740002,42.75
09/02/2018,43.5,44.279999,42.040001,43.950001
12/02/2018,44.150002,45.16,44.09,44.830002
13/02/2018,44.59,44.779999,44.259998,44.459999
14/02/2018,44.07,45.509998,44.040001,45.380001
15/02/2018,45.880001,45.990002,44.950001,45.919998
16/02/2018,45.82,46.59,45.509998,45.560001
20/02/2018,45.459999,46.709999,45.389999,46.32
21/02/2018,46.669998,47.060001,45.919998,45.939999
22/02/2018,46.139999,46.560001,45.619999,45.799999
23/02/2018,46.34,47.790001,46.310001,47.73
26/02/2018,48.200001,49.130001,48.099998,49.110001
27/02/2018,49.369999,50.900002,49.310001,49.91
28/02/2018,50.18,50.34,49.279999,49.290001
01/03/2018,49.5,49.720001,47.470001,47.84
02/03/2018,47.200001,49.049999,46.959999,48.98
05/03/2018,48.57,49.799999,48.040001,49.75
06/03/2018,50.16,51.330002,50.150002,50.709999
07/03/2018,50.18,51.490002,50.099998,51.32
08/03/2018,51.790001,52.080002,50.470001,50.740002
09/03/2018,51.27,52.299999,51,52.189999
12/03/2018,51.860001,51.950001,50.5,51.52
13/03/2018,52.52,53.779999,51.389999,51.779999
14/03/2018,52.060001,52.18,51.310001,51.860001
15/03/2018,52.23,52.299999,50.880001,50.880001
16/03/2018,51.169998,51.700001,50.990002,51.169998
19/03/2018,50.740002,51.23,49.93,50.830002
20/03/2018,50.880001,51.810001,50.849998,51.549999
21/03/2018,51.549999,52.169998,51.169998,51.560001
22/03/2018,50.740002,51.959999,50.599998,50.830002
23/03/2018,50.59,50.990002,49.360001,49.360001
26/03/2018,50.740002,52.490002,50.32,52.48
27/03/2018,53.009998,53.25,50.779999,51.189999
28/03/2018,50.5,50.700001,49.009998,49.599998
29/03/2018,49.98,52.080002,49.869999,52.080002
02/04/2018,51.689999,52.040001,47.290001,48.919998
03/04/2018,49,49.959999,48.41,49.75
04/04/2018,48.099998,50.16,48.009998,49.990002
05/04/2018,50.009998,50.720001,49.970001,50.380001
06/04/2018,49.790001,50.400002,48.5,48.790001
09/04/2018,49.16,51.110001,49.16,49.549999
10/04/2018,51.119999,51.490002,50.34,51.27
11/04/2018,50.990002,51.73,50.82,51.099998
12/04/2018,51.490002,53.27,51.450001,52.720001
13/04/2018,53.060001,53.209999,51.599998,51.860001
16/04/2018,52.290001,52.529999,51.790001,52.400002
17/04/2018,52.91,53.700001,52.889999,53.540001
18/04/2018,53.52,54.360001,53.34,53.610001
19/04/2018,52.950001,52.959999,51.610001,52.220001
20/04/2018,52.169998,52.279999,50.880001,51.529999
23/04/2018,51.689999,51.889999,50.849998,51.099998
24/04/2018,51.869999,53.639999,51.139999,51.450001
25/04/2018,51.860001,52.099998,50.599998,51.380001
26/04/2018,52.259998,53.27,52.07,53.049999
27/04/2018,55.439999,55.790001,52.23,52.73
30/04/2018,52.560001,53.369999,51.209999,51.619999
01/05/2018,51.639999,53.419998,51.439999,53.330002
02/05/2018,53.09,53.200001,52.150002,52.310001
03/05/2018,51.889999,52.560001,51.209999,52.279999
04/05/2018,51.619999,52.84,51,52.779999
07/05/2018,52.860001,53.580002,52.830002,53.330002
08/05/2018,53.290001,53.630001,52.799999,53.630001
09/05/2018,53.759998,54.369999,53.189999,54.34
10/05/2018,54.549999,55,54.099998,54.98
11/05/2018,54.619999,55.189999,54.43,54.669998
14/05/2018,54.77,55.240002,54.740002,54.900002
15/05/2018,54.580002,54.75,53.560001,53.919998
16/05/2018,54.169998,54.700001,53.959999,54.639999
17/05/2018,54.549999,55.439999,54.419998,54.810001
18/05/2018,54.529999,54.540001,53.470001,53.5
21/05/2018,54.360001,55.220001,53.860001,54.32
22/05/2018,54.73,55.049999,54.049999,54.450001
23/05/2018,54,55.23,53.84,55.209999
24/05/2018,55.18,55.299999,54.130001,54.75
25/05/2018,54.799999,55.5,54.540001,55.439999
29/05/2018,55.119999,55.810001,54.810001,55.32
30/05/2018,55.889999,56.200001,55.619999,55.68
31/05/2018,55.669998,55.860001,55.060001,55.200001
01/06/2018,55.84,57.099998,55.799999,57.080002
04/06/2018,57.009998,57.599998,56.779999,56.830002
05/06/2018,56.900002,57.119999,56.220001,56.529999
06/06/2018,56.529999,57.060001,56.080002,57.029999
07/06/2018,56.919998,57,55.619999,55.880001
08/06/2018,55.560001,55.700001,54.66,55.049999
11/06/2018,54.799999,55.09,54.259998,54.52
12/06/2018,54.869999,55.029999,54.220001,54.82
13/06/2018,54.98,55.700001,54.91,55.029999
14/06/2018,55.450001,55.860001,55.18,55.540001
15/06/2018,55.169998,55.380001,54.580002,55.110001
18/06/2018,54.299999,54.299999,52.34,53.220001
19/06/2018,52.139999,52.950001,51.880001,52.93
20/06/2018,53.189999,53.75,52.689999,53.459999
21/06/2018,54.380001,54.529999,51.939999,52.189999
22/06/2018,52.619999,53.09,52.299999,52.5
25/06/2018,51.169998,51.75,49.91,50.709999
26/06/2018,49.950001,50.41,49.360001,49.669998
27/06/2018,49.34,50.060001,48.75,48.759998
28/06/2018,48.580002,49.490002,48.5,49.25
29/06/2018,49.529999,50.110001,49.5,49.709999
02/07/2018,49.040001,50.27,48.830002,50.200001
03/07/2018,50.580002,50.860001,49.43,49.470001
05/07/2018,49.98,50.959999,49.75,50.75
06/07/2018,50.77,51.5,50.400002,51.369999
09/07/2018,51.639999,51.889999,51,51.860001
10/07/2018,52.099998,52.259998,51.84,52.16
11/07/2018,51.689999,51.869999,51.189999,51.200001
12/07/2018,52.049999,52.48,51.73,52.349998
13/07/2018,52.400002,52.419998,51.759998,52.220001
16/07/2018,52.150002,52.32,51.869999,52.009998
17/07/2018,51.049999,51.880001,51.009998,51.75
18/07/2018,51.869999,51.970001,51.470001,51.720001
19/07/2018,51.599998,52.009998,51.049999,51.98
20/07/2018,51.830002,52.07,51.330002,51.91
23/07/2018,51.77,52.5,51.330002,52.310001
24/07/2018,52.759998,53.299999,52.080002,52.18
25/07/2018,52.209999,52.450001,51.09,52.43
26/07/2018,52.450001,53.18,51.869999,52.16
27/07/2018,48.759998,49.200001,47.48,47.68
30/07/2018,47.630001,47.990002,46.43,47.689999
31/07/2018,48.240002,48.68,47.689999,48.099998
01/08/2018,48.060001,48.91,48,48.810001
02/08/2018,48.5,49.52,48.200001,49.48
03/08/2018,49.5,49.779999,49.169998,49.630001
06/08/2018,48.77,49.310001,48.32,49.299999
07/08/2018,49.43,49.830002,49.41,49.700001
08/08/2018,49.599998,50.130001,49.439999,49.959999
09/08/2018,49.860001,50.599998,49.720001,50.139999
10/08/2018,48.509998,49.169998,48.299999,48.849998
13/08/2018,48.919998,49.240002,48.380001,48.450001
14/08/2018,48.669998,48.759998,47.650002,48.119999
15/08/2018,47.779999,48,46.900002,47.459999
16/08/2018,47.75,47.950001,47.049999,47.169998
17/08/2018,47,47.389999,46.330002,47.099998
20/08/2018,47.049999,47.119999,46.189999,46.5
21/08/2018,46.66,47.849998,46.639999,47.619999
22/08/2018,47.25,47.349998,46.919998,47.049999
23/08/2018,46.860001,47.169998,46.709999,46.98
24/08/2018,47.290001,47.889999,47.080002,47.66
27/08/2018,48,48.389999,47.630001,48.349998
28/08/2018,48.549999,48.790001,48.310001,48.57
29/08/2018,48.700001,48.860001,48.400002,48.75
30/08/2018,48.52,48.830002,48.09,48.240002
31/08/2018,47.959999,48.560001,47.919998,48.43
04/09/2018,48.380001,48.43,47.560001,47.959999
05/09/2018,47.75,48.119999,47.470001,47.720001
06/09/2018,47.759998,47.959999,47.209999,47.259998
07/09/2018,46.91,47.48,46.360001,46.450001
10/09/2018,46.560001,46.759998,46.23,46.299999
11/09/2018,46,46.029999,44.889999,44.93
12/09/2018,44.560001,44.98,44.060001,44.93
13/09/2018,45.68,45.849998,45.110001,45.57
14/09/2018,45.779999,45.970001,45.349998,45.540001
17/09/2018,45.290001,45.900002,45.189999,45.419998
18/09/2018,45.580002,46.529999,45.41,46.099998
19/09/2018,46.09,46.439999,45.889999,46.150002
20/09/2018,46.779999,47.360001,46.52,47.200001
21/09/2018,47.119999,47.419998,46.369999,46.66
24/09/2018,46.310001,47,46.150002,46.91
25/09/2018,46.220001,46.389999,45.799999,45.91
26/09/2018,46.040001,46.299999,45.580002,45.700001
27/09/2018,45.91,46.169998,45.73,45.880001
28/09/2018,45.619999,47.75,45.459999,47.290001
01/10/2018,46.790001,47.220001,46.200001,46.450001
02/10/2018,47.509998,48.880001,47.32,48.099998
03/10/2018,48.619999,49.720001,48.560001,48.759998
04/10/2018,48.84,48.860001,47.619999,48.130001
05/10/2018,48.23,48.34,46.66,47.029999
08/10/2018,46.959999,47.349998,46.52,47.029999
09/10/2018,47.18,47.619999,46.540001,46.549999
10/10/2018,46.060001,46.119999,45.119999,45.169998
